FID ID phe0 phe1 phe2 
1 100000  0 0.7936739068883238 0.20632609311167788 
143 14300000  0 0.7969097601423791 0.20309023985762287 
144 14400000  0 0.7969097601423789 0.20309023985762295 
145 14500000  0 0.7908425352910258 0.20915746470897584 
146 14600000  1 0.800550095053191 0.1994499049468111 
147 14700000  0 0.7977187234558925 0.2022812765441092 
148 14800000  0 0.7981232051126499 0.20187679488735225 
149 14900000  1 0.7956963151721084 0.20430368482789346 
150 15000000  0 0.8021680216802183 0.19783197831978366 
151 15100000  0 0.8009545767099477 0.1990454232900542 
152 15200000  1 0.7985276867694069 0.2014723132305954 
153 15300000  0 0.8021680216802183 0.19783197831978366 
154 15400000  0 0.7956963151721086 0.20430368482789346 
155 15500000  0 0.7997411317396771 0.20025886826032485 
156 15600000  1 0.8001456133964339 0.19985438660356797 
157 15700000  0 0.7900335719775124 0.2099664280224896 
158 15800000  0 0.7981232051126497 0.20187679488735225 
159 15900000  1 0.797314241799136 0.20268575820086598 
160 16000000  0 0.7969097601423791 0.2030902398576229 
161 16100000  0 0.7997411317396768 0.20025886826032485 
162 16200000  0 0.7997411317396771 0.20025886826032485 
163 16300000  0 0.7985276867694063 0.20147231323059545 
164 16400000  0 0.7981232051126494 0.20187679488735233 
165 16500000  1 0.8005500950531913 0.19944990494681109 
166 16600000  0 0.8017635400234615 0.1982364599765405 
167 16700000  0 0.7948873518585944 0.20511264814140726 
168 16800000  0 0.802572503336975 0.19742749666302675 
169 16900000  0 0.8025725033369753 0.1974274966630267 
170 17000000  0 0.7981232051126498 0.20187679488735227 
171 17100000  0 0.7965052784856217 0.20349472151437975 
172 17200000  0 0.7940783885450806 0.205921611454921 
173 17300000  1 0.7948873518585948 0.20511264814140717 
174 17400000  0 0.7997411317396768 0.2002588682603248 
175 17500000  0 0.7993366500829203 0.20066334991708165 
176 17600000  0 0.8001456133964338 0.19985438660356802 
177 17700000  0 0.7993366500829204 0.20066334991708173 
178 17800000  0 0.7973142417991359 0.20268575820086604 
179 17900000  0 0.800550095053191 0.19944990494681103 
180 18000000  0 0.8013590583667044 0.1986409416332974 
181 18100000  1 0.7997411317396772 0.2002588682603248 
182 18200000  1 0.7985276867694067 0.2014723132305954 
183 18300000  1 0.8013590583667045 0.19864094163329737 
184 18400000  0 0.8070218015613007 0.19297819843870123 
185 18500000  0 0.8049993932775166 0.19500060672248556 
186 18600000  1 0.7997411317396774 0.2002588682603248 
187 18700000  0 0.8005500950531905 0.19944990494681109 
188 18800000  0 0.7961007968288655 0.20389920317113655 
189 18900000  0 0.8049993932775166 0.1950006067224856 
190 19000000  0 0.8082352465315714 0.19176475346843064 
191 19100000  0 0.8005500950531907 0.19944990494681114 
192 19200000  0 0.804190429964003 0.1958095700359992 
193 19300000  1 0.7989321684261633 0.20106783157383856 
194 19400000  1 0.8029769849937323 0.19702301500626992 
195 19500000  0 0.8001456133964342 0.19985438660356797 
196 19600000  0 0.7981232051126494 0.20187679488735227 
197 19700000  1 0.7997411317396769 0.20025886826032485 
198 19800000  0 0.7973142417991356 0.20268575820086604 
199 19900000  1 0.8037859483072456 0.1962140516927562 
200 20000000  0 0.7900335719775122 0.20996642802248955 
